Contestant,Series,Round,Strength_Score,Result
Kate,5,1,6.85,Neutral Review
Peter,5,1,3.09,Eliminated
Tom,5,1,4.96,Neutral Review
Julia,5,1,4.57,Neutral Review
Flo,5,1,8.05,Positive Review
Chris,5,1,3.46,Negative Review
Liam,5,1,6.54,Neutral Review
Yan,5,1,6.97,Neutral Review
Steven,5,1,8.98,Winner
Stacey,5,1,4.66,Negative Review
James,5,1,4.18,Neutral Review
Sophie,5,1,7.84,Positive Review
Kate,5,2,2.58,Negative Review
Tom,5,2,7.38,Positive Review
Julia,5,2,5.88,Neutral Review
Flo,5,2,3.35,Negative Review
Chris,5,2,3.34,Eliminated
Liam,5,2,5.66,Neutral Review
Yan,5,2,5.11,Neutral Review
Steven,5,2,7.99,Winner
Stacey,5,2,4.87,Negative Review
James,5,2,7.7,Neutral Review
Sophie,5,2,9.3,Positive Review
Kate,5,3,5.61,Neutral Review
Tom,5,3,5.57,Neutral Review
Julia,5,3,8.33,Winner
Flo,5,3,3.89,Eliminated
Liam,5,3,3.47,Negative Review
Yan,5,3,3.94,Neutral Review
Steven,5,3,7.01,Positive Review
Stacey,5,3,6.69,Neutral Review
James,5,3,5.5,Neutral Review
Sophie,5,3,4.63,Neutral Review
Kate,5,4,8.25,Winner
Tom,5,4,2.24,Eliminated
Julia,5,4,6.18,Neutral Review
Liam,5,4,9.38,Positive Review
Yan,5,4,5.56,Neutral Review
Steven,5,4,4.38,Neutral Review
Stacey,5,4,7.87,Neutral Review
James,5,4,4.26,Negative Review
Sophie,5,4,6.86,Neutral Review
Kate,5,5,6.25,Neutral Review
Julia,5,5,4.95,Negative Review
Liam,5,5,4.2,Negative Review
Yan,5,5,7.14,Neutral Review
Steven,5,5,7.42,Neutral Review
Stacey,5,5,9.03,Positive Review
James,5,5,3.44,Eliminated
Sophie,5,5,7.6,Winner
Kate,5,6,5.97,Neutral Review
Julia,5,6,1.02,Eliminated
Liam,5,6,6.73,Winner
Yan,5,6,7.3,Positive Review
Steven,5,6,5.95,Neutral Review
Stacey,5,6,3.03,Negative Review
Sophie,5,6,9.16,Positive Review
Kate,5,7,3.61,Negative Review
Liam,5,7,8.66,Positive Review
Yan,5,7,4.46,Eliminated
Steven,5,7,9.5,Winner
Stacey,5,7,3.83,Negative Review
Sophie,5,7,8.7,Positive Review
Kate,5,8,3.67,Negative Review
Liam,5,8,1.83,Eliminated
Steven,5,8,8.33,Positive Review
Stacey,5,8,8.88,Winner
Sophie,5,8,6.32,Neutral Review
Kate,5,9,6.62,Positive Review
Steven,5,9,3.18,Negative Review
Stacey,5,9,5.12,Eliminated
Sophie,5,9,7.74,Winner
Kate,5,10,7.5,Neutral Review
Steven,5,10,4.51,Neutral Review
Sophie,5,10,7.63,Winner
Antony,6,1,7.5,Neutral Review
Karen,6,1,5.78,Neutral Review
Kim-Joy,6,1,6.35,Neutral Review
Jon,6,1,4.8,Neutral Review
Manon,6,1,9.13,Winner
Rahul,6,1,7.82,Neutral Review
Ruby,6,1,3.16,Negative Review
Dan,6,1,7.06,Neutral Review
Terry,6,1,6.15,Negative Review
Luke,6,1,6.32,Neutral Review
Imelda,6,1,2.88,Eliminated
Briony,6,1,7.6,Positive Review
Antony,6,2,4.5,Neutral Review
Karen,6,2,6.33,Neutral Review
Kim-Joy,6,2,6.72,Neutral Review
Jon,6,2,9.35,Positive Review
Manon,6,2,6.82,Neutral Review
Rahul,6,2,9.41,Winner
Ruby,6,2,6.64,Neutral Review
Dan,6,2,9.48,Positive Review
Terry,6,2,5.22,Negative Review
Luke,6,2,3.16,Eliminated
Briony,6,2,6.35,Negative Review
Antony,6,3,4.02,Eliminated
Karen,6,3,5.58,Neutral Review
Kim-Joy,6,3,6.18,Neutral Review
Jon,6,3,5.31,Neutral Review
Manon,6,3,5.15,Neutral Review
Rahul,6,3,8.32,Winner
Ruby,6,3,6.63,Neutral Review
Dan,6,3,7.06,Positive Review
Terry,6,3,8.18,Neutral Review
Briony,6,3,1.9,Negative Review
Karen,6,4,4.89,Negative Review
Kim-Joy,6,4,6.61,Neutral Review
Jon,6,4,9.31,Positive Review
Manon,6,4,6.99,Neutral Review
Rahul,6,4,7.26,Positive Review
Ruby,6,4,4.41,Neutral Review
Dan,6,4,9.0,Winner
Briony,6,4,4.69,Negative Review
Karen,6,5,2.56,Eliminated
Kim-Joy,6,5,9.13,Winner
Jon,6,5,5.36,Negative Review
Manon,6,5,7.17,Neutral Review
Rahul,6,5,9.38,Positive Review
Ruby,6,5,7.6,Neutral Review
Dan,6,5,4.83,Neutral Review
Briony,6,5,4.68,Negative Review
Terry,6,5,0.75,Eliminated
Kim-Joy,6,6,6.33,Neutral Review
Jon,6,6,4.69,Neutral Review
Manon,6,6,1.5,Negative Review
Rahul,6,6,8.56,Positive Review
Ruby,6,6,7.89,Positive Review
Dan,6,6,5.13,Eliminated
Briony,6,6,7.63,Winner
Kim-Joy,6,7,7.89,Winner
Jon,6,7,3.48,Eliminated
Manon,6,7,6.07,Neutral Review
Rahul,6,7,5.04,Positive Review
Ruby,6,7,6.62,Negative Review
Briony,6,7,6.65,Neutral Review
Kim-Joy,6,8,7.24,Negative Review
Manon,6,8,4.49,Eliminated
Rahul,6,8,3.25,Negative Review
Ruby,6,8,7.64,Winner
Briony,6,8,6.42,Positive Review
Kim-Joy,6,9,5.38,Positive Review
Rahul,6,9,5.07,Negative Review
Ruby,6,9,6.72,Winner
Briony,6,9,3.56,Eliminated
Kim-Joy,6,10,6.24,Neutral Review
Rahul,6,10,7.59,Winner
Ruby,6,10,4.92,Neutral Review
Priya,7,1,6.07,Neutral Review
Jamie,7,1,3.07,Negative Review
Henry,7,1,7.81,Neutral Review
Amelia,7,1,5.08,Neutral Review
Phil,7,1,4.34,Neutral Review
Helena,7,1,6.21,Neutral Review
Michelle,7,1,7.8,Winner
Steph,7,1,7.84,Positive Review
Rosie,7,1,6.25,Neutral Review
David,7,1,7.85,Neutral Review
Alice,7,1,8.25,Neutral Review
Michael,7,1,6.12,Neutral Review
Dan,7,1,3.9,Eliminated
Priya,7,2,3.62,Neutral Review
Jamie,7,2,4.15,Eliminated
Henry,7,2,5.06,Neutral Review
Amelia,7,2,2.67,Negative Review
Phil,7,2,5.93,Neutral Review
Helena,7,2,5.97,Neutral Review
Michelle,7,2,6.45,Neutral Review
Steph,7,2,5.81,Neutral Review
Rosie,7,2,8.11,Positive Review
David,7,2,8.29,Positive Review
Alice,7,2,9.5,Winner
Michael,7,2,5.83,Neutral Review
Priya,7,3,4.47,Neutral Review
Henry,7,3,5.67,Negative Review
Amelia,7,3,2.13,Eliminated
Phil,7,3,6.81,Neutral Review
Helena,7,3,1.84,Neutral Review
Michelle,7,3,6.35,Neutral Review
Steph,7,3,8.23,Positive Review
Rosie,7,3,6.53,Neutral Review
David,7,3,4.28,Neutral Review
Alice,7,3,6.58,Negative Review
Michael,7,3,8.88,Winner
Priya,7,4,5.73,Negative Review
Henry,7,4,5.96,Neutral Review
Phil,7,4,4.69,Eliminated
Helena,7,4,7.72,Neutral Review
Michelle,7,4,6.08,Neutral Review
Steph,7,4,9.5,Winner
Rosie,7,4,8.83,Neutral Review
David,7,4,9.27,Positive Review
Alice,7,4,7.64,Neutral Review
Michael,7,4,7.14,Negative Review
Priya,7,5,5.58,Negative Review
Henry,7,5,6.81,Positive Review
Helena,7,5,5.28,Eliminated
Michelle,7,5,3.35,Eliminated
Steph,7,5,7.86,Winner
Rosie,7,5,5.72,Negative Review
David,7,5,7.89,Positive Review
Alice,7,5,5.23,Neutral Review
Michael,7,5,5.53,Neutral Review
Priya,7,6,4.45,Eliminated
Henry,7,6,4.44,Negative Review
Steph,7,6,8.68,Winner
Rosie,7,6,3.22,Negative Review
David,7,6,7.54,Neutral Review
Alice,7,6,8.76,Positive Review
Michael,7,6,4.76,Negative Review
Henry,7,7,9.08,Winner
Steph,7,7,7.8,Positive Review
Rosie,7,7,7.06,Negative Review
David,7,7,6.04,Positive Review
Alice,7,7,6.69,Neutral Review
Michael,7,7,3.89,Eliminated
Henry,7,8,2.7,Eliminated
Steph,7,8,6.54,Winner
Rosie,7,8,5.48,Negative Review
David,7,8,4.57,Positive Review
Alice,7,8,4.52,Neutral Review
Steph,7,9,7.73,Positive Review
Rosie,7,9,5.57,Eliminated
David,7,9,4.79,Negative Review
Alice,7,9,5.67,Winner
Steph,7,10,3.78,Negative Review
David,7,10,9.19,Winner
Alice,7,10,7.32,Positive Review
Peter,8,1,9.31,Winner
Mak,8,1,6.17,Neutral Review
Hermine,8,1,8.77,Positive Review
Laura,8,1,6.46,Neutral Review
Dave,8,1,5.01,Neutral Review
Linda,8,1,5.08,Negative Review
Loriea,8,1,2.55,Eliminated
Mark,8,1,7.74,Neutral Review
Marc,8,1,4.15,Negative Review
Lottie,8,1,6.61,Neutral Review
Rowan,8,1,8.11,Neutral Review
Sura,8,1,9.5,Positive Review
Peter,8,2,7.27,Neutral Review
Mak,8,2,4.77,Eliminated
Hermine,8,2,4.28,Neutral Review
Laura,8,2,5.72,Neutral Review
Dave,8,2,9.5,Winner
Linda,8,2,5.7,Neutral Review
Mark,8,2,6.88,Positive Review
Marc,8,2,7.47,Positive Review
Lottie,8,2,8.49,Neutral Review
Rowan,8,2,3.4,Negative Review
Sura,8,2,6.73,Neutral Review
Hermine,8,3,6.84,Neutral Review
Laura,8,3,6.2,Neutral Review
Dave,8,3,5.22,Negative Review
Linda,8,3,5.6,Neutral Review
Mark,8,3,6.43,Neutral Review
Marc,8,3,9.12,Winner
Lottie,8,3,7.75,Neutral Review
Rowan,8,3,2.58,Eliminated
Sura,8,3,6.56,Positive Review
Peter,8,3,6.42,Negative Review
Hermine,8,4,5.85,Neutral Review
Laura,8,4,4.85,Neutral Review
Dave,8,4,6.88,Neutral Review
Linda,8,4,6.34,Neutral Review
Mark,8,4,6.85,Winner
Marc,8,4,5.04,Neutral Review
Lottie,8,4,4.14,Negative Review
Sura,8,4,1.15,Eliminated
Peter,8,4,8.01,Positive Review
Hermine,8,5,8.7,Positive Review
Laura,8,5,8.07,Winner
Dave,8,5,7.34,Positive Review
Linda,8,5,3.39,Eliminated
Mark,8,5,5.83,Negative Review
Marc,8,5,4.57,Negative Review
Lottie,8,5,6.73,Neutral Review
Peter,8,5,8.63,Positive Review
Hermine,8,6,4.9,Negative Review
Laura,8,6,4.72,Negative Review
Dave,8,6,8.32,Positive Review
Mark,8,6,5.14,Eliminated
Marc,8,6,7.32,Positive Review
Lottie,8,6,9.16,Winner
Peter,8,6,6.4,Neutral Review
Hermine,8,7,8.63,Winner
Laura,8,7,4.49,Negative Review
Dave,8,7,4.48,Neutral Review
Marc,8,7,7.53,Positive Review
Lottie,8,7,3.76,Eliminated
Peter,8,7,7.63,Neutral Review
Hermine,8,8,7.33,Winner
Laura,8,8,7.59,Positive Review
Dave,8,8,6.18,Neutral Review
Marc,8,8,3.32,Eliminated
Peter,8,8,3.45,Negative Review
Hermine,8,9,4.87,Eliminated
Laura,8,9,5.07,Negative Review
Dave,8,9,8.17,Positive Review
Peter,8,9,9.88,Winner
Laura,8,10,3.72,Neutral Review
Dave,8,10,7.78,Neutral Review
Peter,8,10,8.62,Winner
Maggie,9,1,6.39,Neutral Review
Jairzeno,9,1,5.25,Negative Review
Amanda,9,1,1.97,Negative Review
Tom,9,1,3.3,Eliminated
Crystelle,9,1,7.71,Positive Review
George,9,1,4.51,Negative Review
Rochica,9,1,5.99,Neutral Review
Jurgen,9,1,7.56,Winner
Freya,9,1,7.93,Neutral Review
Chigs,9,1,6.8,Neutral Review
Lizzie,9,1,4.99,Neutral Review
Giuseppe,9,1,6.54,Positive Review
Maggie,9,2,2.86,Negative Review
Jairzeno,9,2,4.37,Eliminated
Amanda,9,2,5.67,Negative Review
Crystelle,9,2,7.19,Neutral Review
George,9,2,7.08,Neutral Review
Rochica,9,2,6.48,Neutral Review
Jurgen,9,2,9.5,Winner
Freya,9,2,8.09,Neutral Review
Chigs,9,2,8.3,Positive Review
Lizzie,9,2,5.73,Neutral Review
Giuseppe,9,2,9.3,Positive Review
Maggie,9,3,2.71,Negative Review
Amanda,9,3,7.52,Neutral Review
Crystelle,9,3,7.21,Neutral Review
George,9,3,6.33,Neutral Review
Rochica,9,3,3.67,Eliminated
Jurgen,9,3,5.61,Neutral Review
Freya,9,3,8.32,Positive Review
Chigs,9,3,7.01,Neutral Review
Lizzie,9,3,8.42,Positive Review
Giuseppe,9,3,9.88,Winner
Maggie,9,4,2.52,Eliminated
Amanda,9,4,3.53,Negative Review
Crystelle,9,4,8.06,Neutral Review
George,9,4,1.96,Neutral Review
Jurgen,9,4,8.98,Positive Review
Freya,9,4,3.37,Negative Review
Chigs,9,4,9.38,Winner
Lizzie,9,4,5.15,Neutral Review
Giuseppe,9,4,7.88,Positive Review
Amanda,9,5,5.59,Neutral Review
Crystelle,9,5,7.79,Neutral Review
George,9,5,5.88,Negative Review
Jurgen,9,5,8.37,Positive Review
Freya,9,5,3.37,Eliminated
Chigs,9,5,7.38,Neutral Review
Lizzie,9,5,6.54,Neutral Review
Giuseppe,9,5,9.5,Winner
Amanda,9,6,2.12,Eliminated
Crystelle,9,6,7.9,Winner
George,9,6,4.65,Negative Review
Jurgen,9,6,8.13,Neutral Review
Chigs,9,6,5.89,Neutral Review
Lizzie,9,6,6.84,Neutral Review
Giuseppe,9,6,7.99,Positive Review
Crystelle,9,7,6.98,Positive Review
George,9,7,5.52,Eliminated
Jurgen,9,7,7.05,Winner
Chigs,9,7,5.76,Positive Review
Lizzie,9,7,3.85,Negative Review
Giuseppe,9,7,7.88,Positive Review
Crystelle,9,8,7.5,Negative Review
Jurgen,9,8,6.98,Positive Review
Chigs,9,8,9.19,Winner
Lizzie,9,8,7.47,Eliminated
Giuseppe,9,8,5.94,Neutral Review
Crystelle,9,9,8.55,Winner
Jurgen,9,9,8.46,Eliminated
Chigs,9,9,7.89,Positive Review
Giuseppe,9,9,7.51,Negative Review
Crystelle,9,10,6.72,Neutral Review
Chigs,9,10,7.63,Neutral Review
Giuseppe,9,10,6.63,Winner
Maxy,10,1,4.2,Neutral Review
James,10,1,5.16,Neutral Review
Carole,10,1,5.86,Neutral Review
Kevin,10,1,7.2,Neutral Review
Maisam,10,1,4.65,Negative Review
Sandro,10,1,5.83,Positive Review
Dawn,10,1,8.62,Neutral Review
Abdul,10,1,6.82,Neutral Review
Syabira,10,1,6.76,Positive Review
Rebs,10,1,5.34,Negative Review
Will,10,1,3.22,Eliminated
Janusz,10,1,8.41,Winner
Maxy,10,2,9.08,Winner
James,10,2,9.3,Positive Review
Carole,10,2,5.82,Negative Review
Kevin,10,2,5.68,Neutral Review
Maisam,10,2,6.09,Eliminated
Sandro,10,2,9.1,Neutral Review
Dawn,10,2,8.29,Neutral Review
Abdul,10,2,6.18,Neutral Review
Syabira,10,2,7.7,Positive Review
Rebs,10,2,4.55,Negative Review
Janusz,10,2,7.63,Neutral Review
Maxy,10,3,7.15,Neutral Review
James,10,3,7.41,Neutral Review
Carole,10,3,3.87,Negative Review
Kevin,10,3,5.15,Negative Review
Sandro,10,3,6.87,Positive Review
Dawn,10,3,2.85,Negative Review
Syabira,10,3,8.05,Positive Review
Janusz,10,3,8.25,Winner
Abdul,10,4,6.48,Neutral Review
Rebs,10,4,1.69,Eliminated
Maxy,10,4,9.5,Winner
James,10,4,5.0,Eliminated
Carole,10,4,3.9,Negative Review
Kevin,10,4,5.76,Neutral Review
Sandro,10,4,6.47,Positive Review
Dawn,10,4,6.72,Neutral Review
Syabira,10,4,6.23,Neutral Review
Janusz,10,4,6.11,Positive Review
Abdul,10,5,7.04,Neutral Review
Maxy,10,5,6.7,Neutral Review
Carole,10,5,4.86,Eliminated
Kevin,10,5,5.14,Neutral Review
Sandro,10,5,8.64,Winner
Dawn,10,5,4.56,Negative Review
Syabira,10,5,5.21,Negative Review
Janusz,10,5,8.25,Positive Review
Abdul,10,6,6.84,Neutral Review
Maxy,10,6,6.45,Neutral Review
Kevin,10,6,3.65,Negative Review
Sandro,10,6,4.65,Neutral Review
Dawn,10,6,1.6,Eliminated
Syabira,10,6,9.03,Winner
Janusz,10,6,6.64,Neutral Review
Abdul,10,7,7.64,Neutral Review
Maxy,10,7,5.12,Neutral Review
Kevin,10,7,5.03,Eliminated
Sandro,10,7,8.34,Positive Review
Syabira,10,7,7.5,Winner
Janusz,10,7,6.19,Negative Review
Abdul,10,8,4.53,Positive Review
Maxy,10,8,4.06,Eliminated
Sandro,10,8,6.28,Negative Review
Syabira,10,8,6.68,Winner
Janusz,10,8,5.62,Positive Review
Abdul,10,9,7.81,Winner
Sandro,10,9,5.95,Negative Review
Syabira,10,9,8.84,Positive Review
Janusz,10,9,5.09,Eliminated
Abdul,10,10,4.52,Neutral Review
Sandro,10,10,3.54,Neutral Review
Syabira,10,10,7.61,Winner
Matty,11,1,5.18,Neutral Review
Dan,11,1,9.5,Winner
Josh,11,1,5.84,Neutral Review
Tasha,11,1,6.66,Neutral Review
Cristy,11,1,8.44,Positive Review
Saku,11,1,5.65,Neutral Review
Dana,11,1,1.9,Negative Review
Nicky,11,1,5.1,Negative Review
Rowan,11,1,8.05,Neutral Review
Abbi,11,1,9.13,Positive Review
Keith,11,1,7.18,Positive Review
Amos,11,1,3.64,Eliminated
Matty,11,2,8.26,Neutral Review
Dan,11,2,7.61,Neutral Review
Josh,11,2,8.62,Positive Review
Tasha,11,2,8.49,Winner
Cristy,11,2,7.32,Neutral Review
Saku,11,2,5.49,Neutral Review
Dana,11,2,5.8,Neutral Review
Nicky,11,2,7.23,Negative Review
Rowan,11,2,6.67,Neutral Review
Abbi,11,2,8.68,Neutral Review
Keith,11,2,5.16,Eliminated
Matty,11,3,6.48,Neutral Review
Dan,11,3,2.19,Negative Review
Josh,11,3,8.83,Positive Review
Tasha,11,3,8.76,Winner
Cristy,11,3,7.65,Neutral Review
Saku,11,3,5.6,Neutral Review
Dana,11,3,4.95,Neutral Review
Nicky,11,3,4.56,Neutral Review
Rowan,11,3,3.08,Negative Review
Abbi,11,3,3.32,Eliminated
Matty,11,4,7.38,Winner
Dan,11,4,7.01,Positive Review
Josh,11,4,3.21,Neutral Review
Cristy,11,4,4.78,Negative Review
Saku,11,4,3.4,Negative Review
Dana,11,4,4.44,Neutral Review
Nicky,11,4,8.06,Positive Review
Rowan,11,4,4.35,Negative Review
Matty,11,5,3.11,Negative Review
Dan,11,5,5.44,Neutral Review
Josh,11,5,6.37,Positive Review
Tasha,11,5,6.57,Positive Review
Cristy,11,5,8.88,Winner
Saku,11,5,5.35,Negative Review
Dana,11,5,4.9,Negative Review
Nicky,11,5,5.16,Eliminated
Rowan,11,5,2.92,Eliminated
Matty,11,6,4.24,Negative Review
Dan,11,6,6.17,Neutral Review
Josh,11,6,9.16,Winner
Tasha,11,6,7.5,Positive Review
Cristy,11,6,8.18,Positive Review
Saku,11,6,5.59,Negative Review
Dana,11,6,3.04,Eliminated
Matty,11,7,4.92,Neutral Review
Dan,11,7,8.07,Winner
Josh,11,7,7.32,Positive Review
Tasha,11,7,7.51,Neutral Review
Cristy,11,7,4.41,Negative Review
Saku,11,7,2.89,Eliminated
Matty,11,8,7.57,Winner
Dan,11,8,5.6,Negative Review
Josh,11,8,6.54,Positive Review
Tasha,11,8,6.23,Neutral Review
Cristy,11,8,5.18,Eliminated
Matty,11,9,4.87,Negative Review
Dan,11,9,7.7,Positive Review
Josh,11,9,8.91,Winner
Tasha,11,9,4.78,Eliminated
Matty,11,10,5.44,Winner
Dan,11,10,4.17,Neutral Review
Josh,11,10,7.09,Neutral Review
Andy,12,1,5.91,Neutral Review
Christiaan,12,1,5.1,Negative Review
Dylan,12,1,8.03,Neutral Review
Georgie,12,1,7.38,Positive Review
Gill,12,1,7.47,Neutral Review
Hazel,12,1,3.08,Negative Review
Illiyin,12,1,7.8,Neutral Review
John,12,1,8.58,Winner
Mike,12,1,6.04,Neutral Review
Nelly,12,1,7.3,Neutral Review
Sumayah,12,1,7.9,Positive Review
Andy,12,2,6.81,Neutral Review
Christiaan,12,2,8.1,Positive Review
Dylan,12,2,7.5,Neutral Review
Georgie,12,2,2.77,Negative Review
Gill,12,2,8.9,Neutral Review
Hazel,12,2,3.44,Eliminated
Illiyin,12,2,5.61,Negative Review
John,12,2,7.32,Neutral Review
Mike,12,2,7.66,Neutral Review
Nelly,12,2,7.27,Neutral Review
Sumayah,12,2,9.1,Winner
Andy,12,3,4.91,Negative Review
Christiaan,12,3,5.74,Neutral Review
Dylan,12,3,7.89,Winner
Georgie,12,3,8.17,Positive Review
Gill,12,3,7.95,Neutral Review
Illiyin,12,3,8.32,Neutral Review
John,12,3,6.2,Eliminated
Mike,12,3,4.92,Neutral Review
Nelly,12,3,9.5,Positive Review
Sumayah,12,3,6.38,Neutral Review
Andy,12,4,6.84,Neutral Review
Christiaan,12,4,7.93,Neutral Review
Dylan,12,4,7.1,Positive Review
Georgie,12,4,8.61,Winner
Gill,12,4,7.09,Neutral Review
Illiyin,12,4,6.12,Neutral Review
Mike,12,4,4.44,Eliminated
Nelly,12,4,7.38,Neutral Review
Sumayah,12,4,4.21,Negative Review
Andy,12,5,2.61,Eliminated
Christiaan,12,5,6.36,Neutral Review
Dylan,12,5,7.88,Neutral Review
Georgie,12,5,5.87,Neutral Review
Gill,12,5,7.5,Winner
Illiyin,12,5,5.79,Negative Review
Nelly,12,5,5.71,Neutral Review
Sumayah,12,5,7.11,Positive Review
Christiaan,12,6,7.83,Neutral Review
Dylan,12,6,5.2,Negative Review
Georgie,12,6,6.97,Neutral Review
Gill,12,6,7.5,Positive Review
Illiyin,12,6,7.6,Neutral Review
Nelly,12,6,4.62,Eliminated
Sumayah,12,6,8.65,Winner
Christiaan,12,7,7.3,Neutral Review
Dylan,12,7,9.88,Winner
Georgie,12,7,8.15,Positive Review
Gill,12,7,7.56,Negative Review
Illiyin,12,7,6.44,Negative Review
Sumayah,12,7,3.66,Eliminated
Christiaan,12,8,6.4,Negative Review
Dylan,12,8,8.03,Positive Review
Georgie,12,8,9.06,Winner
Gill,12,8,5.9,Negative Review
Illiyin,12,8,3.96,Eliminated
Christiaan,12,9,7.73,Winner
Dylan,12,9,6.79,Positive Review
Georgie,12,9,6.63,Negative Review
Gill,12,9,7.45,Eliminated
Christiaan,12,10,6.89,Neutral Review
Dylan,12,10,3.1,Neutral Review
Georgie,12,10,7.04,Winner
Aaron,13,1,4.81,Neutral Review
Hassan,13,1,3.78,Eliminated
Iain,13,1,7.13,Neutral Review
Jasmine,13,1,5.63,Neutral Review
Jessika,13,1,7.93,Positive Review
Leighton,13,1,4.63,Negative Review
Lesley,13,1,7.75,Neutral Review
Nadia,13,1,5.33,Neutral Review
Nataliia,13,1,8.27,Winner
Pui Man,13,1,4.82,Neutral Review
Toby,13,1,4.51,Negative Review
Tom,13,1,7.5,Positive Review
Aaron,13,2,6.33,Negative Review
Iain,13,2,6.58,Neutral Review
Jasmine,13,2,8.03,Positive Review
Jessika,13,2,6.77,Neutral Review
Leighton,13,2,5.27,Eliminated
Lesley,13,2,6.22,Neutral Review
Nadia,13,2,8.13,Neutral Review
Nataliia,13,2,3.92,Neutral Review
Pui Man,13,2,5.82,Negative Review
Toby,13,2,5.22,Negative Review
Tom,13,2,7.75,Winner
Aaron,13,3,7.16,Positive Review
Iain,13,3,3.15,Negative Review
Jasmine,13,3,9.06,Winner
Jessika,13,3,5.57,Neutral Review
Lesley,13,3,7.57,Neutral Review
Nadia,13,3,7.38,Positive Review
Nataliia,13,3,4.57,Negative Review
Pui Man,13,3,4.42,Eliminated
Toby,13,3,6.93,Neutral Review
Tom,13,3,8.18,Positive Review
Aaron,13,4,6.82,Neutral Review
Iain,13,4,4.69,Negative Review
Jasmine,13,4,9.5,Winner
Jessika,13,4,2.33,Eliminated
Lesley,13,4,6.3,Neutral Review
Nadia,13,4,5.08,Neutral Review
Nataliia,13,4,5.56,Neutral Review
Toby,13,4,6.83,Positive Review
Tom,13,4,8.25,Positive Review
Aaron,13,5,8.49,Winner
Iain,13,5,7.79,Neutral Review
Jasmine,13,5,8.46,Positive Review
Lesley,13,5,7.46,Positive Review
Nadia,13,5,4.35,Eliminated
Nataliia,13,5,7.2,Neutral Review
Toby,13,5,3.43,Negative Review
Tom,13,5,8.37,Neutral Review
Aaron,13,6,5.1,Negative Review
Iain,13,6,7.06,Neutral Review
Jasmine,13,6,8.64,Winner
Lesley,13,6,6.85,Positive Review
Nataliia,13,6,4.61,Eliminated
Toby,13,6,6.23,Neutral Review
Tom,13,6,6.45,Neutral Review
Aaron,13,7,5.9,Neutral Review
Iain,13,7,6.69,Negative Review
Jasmine,13,7,8.3,Positive Review
Lesley,13,7,4.95,Eliminated
Toby,13,7,9.08,Winner
Tom,13,7,7.03,Neutral Review
Aaron,13,8,6.18,Positive Review
Iain,13,8,5.15,Eliminated
Jasmine,13,8,8.0,Winner
Toby,13,8,5.99,Neutral Review
Tom,13,8,5.73,Negative Review
Aaron,13,9,5.58,Negative Review
Jasmine,13,9,8.64,Winner
Toby,13,9,5.78,Eliminated
Tom,13,9,4.36,Negative Review
Aaron,13,10,4.06,Negative Review
Jasmine,13,10,6.48,Winner
Tom,13,10,8.63,Positive Review
