Contestant,Series,Round,Signature Bake,Signature Flavor,Signature Looks,Signature Handshake,Tech,First Half Review,Showstopper Bake,Showstopper Flavor,Showstopper Looks,Showstopper Handshake,Second Half Review,Winner,Eliminated
Chris,5,1,0.5,1.0,0.0,,12,,-0.5,0.5,-0.5,,-1.0,,
Flo,5,1,1.0,1.0,1.0,,9,,1.0,0.5,1.0,,1.0,,
Julia,5,1,-0.5,0.0,0.0,,3,,-0.5,-0.5,-0.5,,,,
Kate,5,1,-0.5,-1.0,-0.5,,1,,0.5,0.5,0.5,,,,
Liam,5,1,-0.5,-0.5,-0.5,,8,,0.5,0.0,1.0,,,,
Peter,5,1,-1.0,0.5,0.0,,10,,-0.5,0.5,0.0,,-1.0,,1.0
Stacey,5,1,0.0,0.0,-0.5,,11,,0.5,0.5,-0.5,,-1.0,,
Steven,5,1,1.0,1.0,1.0,1.0,6,,1.0,1.0,1.0,,1.0,1.0,
Tom,5,1,-0.5,0.0,0.5,,7,,-0.5,0.0,0.0,,,,
Yan,5,1,0.5,-0.5,0.0,,4,,-0.5,0.5,1.0,,,,
Flo,5,2,-0.5,0.5,0.0,,10,,0.5,0.0,0.0,,-1.0,,
James,5,2,1.0,1.0,0.5,,3,,0.5,0.5,0.5,,,,
Kate,5,2,-1.0,0.5,-0.5,,8,,-0.5,0.5,-0.5,,-1.0,,
Liam,5,2,-0.5,0.5,0.0,,7,,0.0,1.0,-0.5,,,,
Sophie,5,2,1.0,1.0,1.0,,2,,1.0,0.5,1.0,,1.0,,
Stacey,5,2,1.0,1.0,1.0,,9,,-1.0,-0.5,1.0,,-1.0,,
Steven,5,2,1.0,1.0,-0.5,,6,,1.0,1.0,1.0,,1.0,1.0,
Tom,5,2,1.0,1.0,0.5,,5,,0.5,0.5,1.0,,1.0,,
Yan,5,2,-0.5,0.5,1.0,,1,,-1.0,0.0,-0.5,,,,
Flo,5,3,-1.0,-1.0,0.0,,7,-1.0,0.5,-1.0,-0.5,,-1.0,,1.0
James,5,3,1.0,1.0,0.5,,9,,1.0,-1.0,0.5,,,,
Julia,5,3,-0.5,1.0,0.5,,2,1.0,1.0,1.0,1.0,,1.0,1.0,
Kate,5,3,-0.5,1.0,0.0,,10,,0.5,1.0,0.5,,,,
Liam,5,3,-1.0,0.0,0.0,,5,-1.0,-0.5,0.0,0.0,,-1.0,,
Sophie,5,3,0.5,-0.5,0.5,,6,,-0.5,0.0,0.0,,,,
Stacey,5,3,0.5,0.0,0.0,,1,1.0,-0.5,-0.5,1.0,,,,
Steven,5,3,-1.0,1.0,0.0,,3,-1.0,1.0,1.0,1.0,,1.0,,
Tom,5,3,0.5,0.5,0.0,,4,1.0,0.5,-0.5,0.0,,,,
Yan,5,3,-0.5,1.0,0.0,,8,,-0.5,1.0,-0.5,,,,
James,5,4,-0.5,0.0,0.0,,2,-1.0,-0.5,0.5,-0.5,,-1.0,,
Julia,5,4,1.0,0.5,0.0,,9,-1.0,1.0,1.0,0.5,,,,
Kate,5,4,1.0,1.0,0.5,,6,1.0,1.0,1.0,1.0,,1.0,1.0,
Liam,5,4,1.0,1.0,1.0,1.0,3,1.0,1.0,1.0,1.0,,1.0,,
Sophie,5,4,-0.5,1.0,-1.0,,4,,1.0,1.0,1.0,,,,
Stacey,5,4,0.0,0.0,1.0,,1,1.0,1.0,1.0,0.5,,,,
Steven,5,4,0.5,0.0,0.5,,7,,-1.0,-0.5,1.0,,,,
Tom,5,4,-0.5,0.5,0.0,,5,,-1.0,0.5,-0.5,,-1.0,,1.0
Yan,5,4,-0.5,0.5,0.5,,8,-1.0,-0.5,1.0,1.0,,,,
James,5,5,0.0,0.5,0.5,,7,-1.0,-0.5,-0.5,-0.5,,-1.0,,1.0
Julia,5,5,0.0,1.0,0.5,,3,,-0.5,-0.5,0.0,,-1.0,,
Kate,5,5,0.0,-0.5,0.0,,8,-1.0,1.0,1.0,1.0,,,,
Liam,5,5,-0.5,0.5,0.5,,2,,-1.0,0.5,-0.5,,-1.0,,
Sophie,5,5,-1.0,1.0,0.5,,1,,1.0,1.0,1.0,,1.0,1.0,
Stacey,5,5,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,1.0,,1.0,,
Steven,5,5,1.0,1.0,1.0,1.0,5,1.0,-0.5,-0.5,1.0,,,,
Yan,5,5,1.0,1.0,1.0,1.0,6,1.0,-0.5,0.5,1.0,,,,
Kate,5,7,0.0,0.0,-0.5,,6,-1.0,-1.0,0.0,-1.0,,-1.0,,
Liam,5,7,0.0,1.0,1.0,,2,1.0,1.0,1.0,1.0,,1.0,,
Sophie,5,7,1.0,1.0,1.0,,3,1.0,1.0,0.5,1.0,,1.0,,
Stacey,5,7,-1.0,0.5,-0.5,,4,,-1.0,0.5,-1.0,,-1.0,,
Steven,5,7,1.0,1.0,1.0,,1,1.0,1.0,1.0,1.0,,1.0,1.0,
Yan,5,7,-1.0,0.5,-0.5,,5,-1.0,-1.0,0.5,-0.5,,-1.0,,1.0
Kate,5,8,-1.0,0.0,-0.5,,2,-1.0,-0.5,0.0,-0.5,,-1.0,,
Liam,5,8,0.5,1.0,1.0,,5,-1.0,-0.5,-1.0,-0.5,,-1.0,,1.0
Sophie,5,8,-0.5,-0.5,1.0,,4,-1.0,0.0,1.0,1.0,,,,
Stacey,5,8,1.0,1.0,1.0,1.0,3,1.0,0.5,0.5,0.5,,1.0,1.0,
Steven,5,8,0.5,1.0,-0.5,,1,1.0,0.5,0.5,1.0,,1.0,,
Kate,5,9,1.0,1.0,1.0,,4,,1.0,1.0,1.0,,1.0,,
Sophie,5,9,-0.5,0.5,0.5,,1,,1.0,1.0,1.0,,1.0,1.0,
Stacey,5,9,-1.0,-0.5,-1.0,,2,-1.0,-0.5,0.0,0.0,,-1.0,,1.0
Steven,5,9,-1.0,1.0,-1.0,,3,,-1.0,1.0,-0.5,,-1.0,,
Kate,5,10,1.0,1.0,1.0,,3,0.0,1.0,1.0,1.0,,,,
Sophie,5,10,-0.5,1.0,1.0,,2,0.0,1.0,1.0,1.0,,,1.0,
Steven,5,10,-1.0,0.5,-1.0,,1,0.0,-0.5,-0.5,0.0,,,,
Antony,6,1,1.0,1.0,1.0,,12,,1.0,1.0,1.0,,,,
Briony,6,1,1.0,1.0,1.0,,2,,0.5,0.0,1.0,,1.0,,
Dan,6,1,-1.0,0.5,-0.5,,4,,1.0,1.0,1.0,,,,
Imelda,6,1,1.0,1.0,1.0,,11,,-0.5,-0.5,-0.5,,-1.0,,1.0
Jon,6,1,-1.0,-0.5,-0.5,,5,,1.0,1.0,-0.5,,,,
Karen,6,1,-0.5,-0.5,1.0,,6,,0.5,-0.5,1.0,,,,
Kim-Joy,6,1,1.0,1.0,1.0,,10,,1.0,0.5,1.0,,,,
Luke,6,1,0.5,0.0,1.0,,8,,-0.5,0.5,1.0,,,,
Manon,6,1,1.0,1.0,1.0,,3,,1.0,1.0,1.0,,1.0,1.0,
Rahul,6,1,0.5,0.0,0.5,,7,,1.0,1.0,1.0,,,,
Ruby,6,1,-1.0,-1.0,0.0,,1,,-0.5,-0.5,-1.0,,-1.0,,
Terry,6,1,-0.5,0.5,-1.0,,9,,1.0,1.0,1.0,,-1.0,,
Antony,6,2,0.5,1.0,-0.5,,9,,0.5,-1.0,1.0,,,,
Briony,6,2,1.0,1.0,-1.0,,5,1.0,-1.0,0.5,1.0,,-1.0,,
Dan,6,2,1.0,1.0,1.0,1.0,3,1.0,1.0,1.0,1.0,,1.0,,
Jon,6,2,0.0,1.0,1.0,,1,1.0,1.0,1.0,1.0,,1.0,,
Karen,6,2,-1.0,0.0,1.0,,11,-1.0,1.0,1.0,1.0,,,,
Kim-Joy,6,2,1.0,-0.5,1.0,,4,,-0.5,0.5,1.0,,,,
Luke,6,2,-1.0,-1.0,-1.0,,7,-1.0,-1.0,1.0,-0.5,,-1.0,,1.0
Manon,6,2,-0.5,-0.5,0.0,,6,-1.0,1.0,1.0,-0.5,,,,
Rahul,6,2,1.0,1.0,1.0,,2,,1.0,1.0,1.0,1.0,1.0,1.0,
Ruby,6,2,1.0,0.5,-1.0,,10,-1.0,1.0,1.0,1.0,1.0,,,
Terry,6,2,1.0,1.0,0.5,,8,-1.0,0.0,-0.5,1.0,,-1.0,,
Antony,6,3,-0.5,1.0,0.5,,8,-1.0,-1.0,0.0,-0.5,,-1.0,,1.0
Briony,6,3,0.5,1.0,-0.5,,9,-1.0,-1.0,-0.5,-0.5,,-1.0,,
Dan,6,3,1.0,1.0,1.0,1.0,6,1.0,1.0,-0.5,1.0,,1.0,,
Jon,6,3,-0.5,1.0,0.5,,2,,-1.0,1.0,-0.5,,,,
Karen,6,3,0.5,0.5,0.5,,5,,-1.0,0.0,0.5,,,,
Kim-Joy,6,3,0.5,0.0,0.0,,10,-1.0,-0.5,0.0,1.0,,,,
Manon,6,3,-0.5,1.0,0.0,,3,,-0.5,-1.0,1.0,,,,
Rahul,6,3,1.0,1.0,-0.5,,4,1.0,1.0,1.0,1.0,,1.0,1.0,
Ruby,6,3,-1.0,-0.5,-0.5,,7,-1.0,1.0,1.0,1.0,,,,
Terry,6,3,0.5,0.5,0.5,,1,,-1.0,1.0,0.5,,,,
Briony,6,4,-0.5,1.0,0.0,,5,-1.0,0.5,1.0,-0.5,,-1.0,,
Dan,6,4,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,0.0,,1.0,1.0,
Jon,6,4,1.0,1.0,1.0,1.0,3,1.0,1.0,1.0,1.0,,1.0,,
Karen,6,4,-1.0,0.0,-1.0,,7,-1.0,0.5,0.0,0.5,,-1.0,,
Kim-Joy,6,4,-0.5,1.0,0.0,,6,-1.0,1.0,1.0,1.0,,,,
Manon,6,4,-0.5,1.0,0.0,,8,-1.0,1.0,1.0,1.0,,,,
Rahul,6,4,-0.5,1.0,1.0,,4,1.0,1.0,1.0,1.0,,1.0,,
Ruby,6,4,0.5,1.0,0.5,,2,1.0,-1.0,0.5,-1.0,,,,
Briony,6,5,-1.0,-0.5,0.5,,6,-1.0,-0.5,-0.5,-0.5,,-1.0,,
Dan,6,5,-1.0,0.0,-0.5,,2,,0.0,-0.5,1.0,,,,
Jon,6,5,-0.5,0.5,0.5,,7,,0.5,1.0,-0.5,,-1.0,,
Karen,6,5,-0.5,-1.0,0.0,,9,-1.0,0.0,-0.5,0.0,,-1.0,,1.0
Kim-Joy,6,5,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,1.0,,1.0,1.0,
Manon,6,5,1.0,1.0,1.0,1.0,5,1.0,0.5,-0.5,1.0,,1.0,,
Rahul,6,5,1.0,1.0,1.0,1.0,3,1.0,0.5,1.0,0.5,,1.0,,
Ruby,6,5,0.0,0.0,1.0,,1,1.0,1.0,0.5,-0.5,,,,
Terry,6,5,-1.0,-0.5,-1.0,,8,-1.0,-0.5,-1.0,-0.5,,-1.0,,1.0
Briony,6,6,0.5,0.0,1.0,,1,1.0,1.0,0.5,1.0,,1.0,1.0,
Dan,6,6,-1.0,1.0,-0.5,,6,-1.0,-1.0,1.0,0.5,,-1.0,,1.0
Jon,6,6,-0.5,1.0,-0.5,,2,,-1.0,1.0,-0.5,,,,
Kim-Joy,6,6,1.0,0.5,0.5,,5,,-0.5,1.0,1.0,,,,
Manon,6,6,-0.5,-0.5,-0.5,,4,-1.0,-1.0,-1.0,-0.5,,-1.0,,
Rahul,6,6,1.0,1.0,1.0,1.0,3,1.0,-0.5,1.0,1.0,,1.0,,
Ruby,6,6,1.0,1.0,1.0,1.0,7,-1.0,1.0,1.0,1.0,,1.0,,
Briony,6,7,-0.5,0.0,-0.5,,5,-1.0,1.0,0.5,1.0,,,,
Jon,6,7,-1.0,0.0,-1.0,,4,-1.0,-0.5,1.0,-1.0,,-1.0,,1.0
Kim-Joy,6,7,1.0,1.0,1.0,1.0,6,,0.5,0.5,1.0,,1.0,1.0,
Manon,6,7,0.5,1.0,0.5,,2,1.0,-1.0,-1.0,1.0,,,,
Rahul,6,7,1.0,1.0,0.5,,1,1.0,-1.0,0.0,-1.0,,1.0,,
Ruby,6,7,0.5,-0.5,0.5,,3,-1.0,-1.0,1.0,-1.0,,-1.0,,
Briony,6,8,-1.0,-0.5,-1.0,,1,1.0,1.0,1.0,0.5,,1.0,,
Kim-Joy,6,8,0.0,1.0,1.0,,2,1.0,-1.0,1.0,1.0,,-1.0,,
Manon,6,8,-0.5,-0.5,-0.5,,4,-1.0,-1.0,0.5,1.0,,-1.0,,1.0
Rahul,6,8,-1.0,0.5,-1.0,,5,-1.0,-1.0,1.0,0.5,,-1.0,,
Ruby,6,8,1.0,1.0,1.0,,3,1.0,0.5,1.0,1.0,,1.0,1.0,
Briony,6,9,-0.5,0.0,0.0,,3,-1.0,-1.0,-0.5,-1.0,,-1.0,,1.0
Kim-Joy,6,9,-0.5,0.0,0.5,,2,1.0,-0.5,1.0,-0.5,,1.0,,
Rahul,6,9,1.0,1.0,1.0,,4,,-0.5,0.5,-1.0,,-1.0,,
Ruby,6,9,-0.5,1.0,-1.0,,1,,1.0,1.0,0.5,,1.0,1.0,
Kim-Joy,6,10,1.0,1.0,0.0,,1,,0.5,0.0,0.5,,,,
Rahul,6,10,-0.5,0.0,0.5,,2,,1.0,1.0,0.5,,,1.0,
Ruby,6,10,0.5,-0.5,0.5,,3,,0.5,1.0,0.5,,,,
Alice,7,1,0.5,0.5,0.5,,5,,1.0,1.0,0.5,,,,
Amelia,7,1,1.0,1.0,1.0,,4,,-1.0,-1.0,0.5,,,,
Dan,7,1,-1.0,0.5,-0.5,,9,,0.5,-0.5,1.0,,-1.0,,1.0
David,7,1,1.0,-0.5,1.0,,10,,1.0,1.0,1.0,,,,
Helena,7,1,0.0,0.5,-0.5,,12,,1.0,1.0,1.0,,,,
Henry,7,1,1.0,1.0,-0.5,,1,,0.5,0.5,1.0,,,,
Jamie,7,1,1.0,1.0,0.5,,13,,-1.0,0.0,0.5,,-1.0,,
Michael,7,1,1.0,1.0,1.0,,11,,0.5,0.0,1.0,,,,
Michelle,7,1,-0.5,1.0,0.5,,6,,1.0,1.0,1.0,,1.0,1.0,
Phil,7,1,0.5,-0.5,1.0,,8,,0.0,-0.5,0.5,,,,
Priya,7,1,1.0,1.0,1.0,,7,,-0.5,0.0,-0.5,,,,
Rosie,7,1,-1.0,-0.5,-1.0,,2,,1.0,1.0,-0.5,,,,
Steph,7,1,1.0,1.0,1.0,,3,,-0.5,0.5,1.0,,1.0,,
Alice,7,2,1.0,1.0,1.0,,1,,1.0,1.0,1.0,,1.0,1.0,
Amelia,7,2,-1.0,0.5,-0.5,,9,,-0.5,0.0,-0.5,,-1.0,,
David,7,2,0.0,0.5,-0.5,,2,,1.0,1.0,1.0,,1.0,,
Helena,7,2,-0.5,-0.5,0.0,,12,,1.0,1.0,1.0,,,,
Henry,7,2,-0.5,1.0,0.5,,6,,-0.5,0.5,-0.5,,,,
Jamie,7,2,-0.5,-0.5,-1.0,,11,,-0.5,1.0,-0.5,,-1.0,,1.0
Michael,7,2,-0.5,1.0,0.0,,4,,-0.5,1.0,0.0,,,,
Michelle,7,2,1.0,1.0,1.0,,8,,1.0,1.0,-0.5,,,,
Phil,7,2,0.0,0.0,-0.5,,3,,-1.0,0.0,0.5,,,,
Priya,7,2,-0.5,-0.5,-0.5,,7,,-0.5,-0.5,1.0,,,,
Rosie,7,2,1.0,1.0,1.0,,5,,-0.5,1.0,1.0,,1.0,,
Steph,7,2,0.5,-0.5,0.5,,10,,-0.5,0.5,0.5,,,,
Alice,7,3,-0.5,0.5,0.5,,7,-1.0,0.5,0.0,0.5,,-1.0,,
Amelia,7,3,0.0,0.5,-0.5,,11,-1.0,-1.0,-1.0,-0.5,,-1.0,,1.0
David,7,3,0.5,0.5,0.0,,2,1.0,-1.0,-0.5,0.5,,,,
Helena,7,3,-0.5,0.0,-0.5,,8,,-0.5,-0.5,0.5,,,,
Henry,7,3,0.0,-0.5,0.5,,1,,-0.5,0.5,0.0,,-1.0,,
Michael,7,3,1.0,1.0,1.0,1.0,6,,0.0,0.5,0.5,,1.0,1.0,
Michelle,7,3,0.5,0.5,-0.5,,5,1.0,-0.5,0.5,0.5,,,,
Phil,7,3,0.5,1.0,0.5,,10,,1.0,1.0,0.5,,,,
Priya,7,3,0.0,1.0,0.0,,4,1.0,0.5,0.0,0.0,,,,
Rosie,7,3,1.0,1.0,0.0,,9,-1.0,1.0,0.0,1.0,,,,
Steph,7,3,-0.5,0.5,1.0,,3,,1.0,0.5,1.0,,1.0,,
Alice,7,4,0.5,-0.5,1.0,,8,,0.5,0.5,0.5,,,,
David,7,4,1.0,1.0,1.0,,2,1.0,1.0,1.0,1.0,,1.0,,
Helena,7,4,0.5,0.5,0.5,,9,,1.0,1.0,1.0,,,,
Henry,7,4,1.0,1.0,1.0,,3,1.0,-0.5,0.5,-0.5,,,,
Michael,7,4,0.0,1.0,-1.0,,7,-1.0,1.0,1.0,1.0,,-1.0,,
Michelle,7,4,-0.5,0.0,0.5,,5,,-0.5,0.0,0.0,,,,
Phil,7,4,0.5,-0.5,-0.5,,6,,-0.5,-0.5,0.0,,-1.0,,1.0
Priya,7,4,0.0,0.5,0.5,,10,-1.0,0.5,0.5,0.0,,-1.0,,
Rosie,7,4,1.0,1.0,0.5,,4,,1.0,1.0,1.0,,,,
Steph,7,4,1.0,1.0,0.5,,1,1.0,1.0,1.0,1.0,,1.0,1.0,
Alice,7,5,0.0,-0.5,0.0,,6,,0.5,0.5,-0.5,,,,
David,7,5,1.0,1.0,1.0,1.0,9,,0.5,0.5,0.0,,1.0,,
Helena,7,5,0.0,-0.5,1.0,,1,,-0.5,-0.5,-0.5,,-1.0,,1.0
Henry,7,5,-0.5,0.5,0.0,,3,,-0.5,1.0,1.0,,1.0,,
Michael,7,5,1.0,1.0,0.5,,8,,0.5,0.0,0.5,,,,
Michelle,7,5,0.0,-0.5,0.5,,7,,-0.5,-0.5,0.0,,-1.0,,1.0
Priya,7,5,-0.5,0.5,-0.5,,2,-1.0,0.0,0.5,-0.5,,-1.0,,
Rosie,7,5,-0.5,0.5,-0.5,,5,,0.0,1.0,0.0,,-1.0,,
Steph,7,5,1.0,1.0,0.5,,4,,1.0,1.0,0.5,,1.0,1.0,
Alice,7,6,0.0,0.0,0.5,,1,1.0,1.0,1.0,1.0,,1.0,,
David,7,6,0.5,-0.5,1.0,,2,,0.0,0.5,1.0,,1.0,,
Henry,7,6,0.5,0.5,-0.5,,4,,-0.5,-0.5,0.0,,-1.0,,
Michael,7,6,-0.5,0.5,0.5,,6,-1.0,-0.5,0.5,-0.5,,-1.0,,
Priya,7,6,-0.5,-0.5,-0.5,,7,-1.0,0.5,0.0,0.5,,-1.0,,1.0
Rosie,7,6,0.5,0.5,0.0,,5,,-0.5,0.0,0.0,,-1.0,,
Steph,7,6,0.5,0.5,1.0,,3,1.0,1.0,1.0,1.0,,1.0,1.0,
Alice,7,7,0.5,-0.5,-0.5,,6,-1.0,1.0,1.0,1.0,,,,
David,7,7,0.5,1.0,1.0,,2,,-0.5,0.0,0.5,,1.0,,
Henry,7,7,1.0,1.0,1.0,1.0,3,,1.0,1.0,0.5,,1.0,1.0,
Michael,7,7,0.0,1.0,0.5,,5,,-0.5,0.0,0.5,,-1.0,,1.0
Rosie,7,7,0.0,0.5,0.5,,1,,0.0,0.5,-0.5,,-1.0,,
Steph,7,7,1.0,1.0,1.0,1.0,4,,1.0,1.0,0.5,,1.0,,
