Contestant,Series,Round,S - Bake,S - Flavor,S - Looks,Handshake 1,Tech,First Half Review,F - Bake,F - Flavor,F - Looks,Handshake 2,Second Half Review,Winner,Eliminated
Aaron,13,1,1,1,1,,4,,0,-1,-1,,,,
Hassan,13,1,0,1,-1,,10,-1,1,0,-1,,-1,,1
Iain,13,1,0,1,1,,8,,0,1,1,,,,
Jasmine,13,1,-1,1,1,,9,,0,1,0,,,,
Jessika,13,1,-1,1,0,,2,,1,1,1,,1,,
Leighton,13,1,-1,1,1,,6,-1,-1,1,-1,,-1,,
Lesley,13,1,1,1,-1,,5,,1,1,1,,,,
Nadia,13,1,0,-1,-1,,7,,-1,1,1,,,,
Nataliia,13,1,-1,1,1,,3,1,1,1,1,,1,1,
Pui Man,13,1,0,1,1,,11,,0,1,-1,,,,
Toby,13,1,-1,1,-1,,1,,-1,1,-1,,-1,,
Tom,13,1,1,1,1,,12,,1,1,1,,1,,
Aaron,13,2,1,1,1,,8,,1,1,-1,,-1,,
Iain,13,2,0,1,-1,,5,,0,1,1,,,,
Jasmine,13,2,-1,1,1,,4,1,1,1,1,,1,,
Jessika,13,2,-1,1,1,,7,,0,1,1,,,,
Leighton,13,2,1,1,1,,10,,0,1,-1,,-1,,1
Lesley,13,2,-1,-1,0,,9,,1,1,1,,,,
Nadia,13,2,-1,-1,1,,2,,1,1,1,,,,
Nataliia,13,2,-1,1,-1,,3,,0,0,-1,,,,
Pui Man,13,2,-1,-1,0,,11,-1,1,1,1,,-1,,
Toby,13,2,0,-1,0,,1,,-1,-1,1,,-1,,
Tom,13,2,-1,1,1,,6,1,1,1,1,1,1,1,
Aaron,13,3,-1,1,-1,,3,,1,1,1,,1,,
Iain,13,3,0,1,1,,6,,-1,-1,-1,,-1,,
Jasmine,13,3,0,1,1,,1,1,1,1,1,,1,1,
Jessika,13,3,1,1,1,,7,,1,-1,0,,,,
Lesley,13,3,1,0,1,,9,,1,1,1,,,,
Nadia,13,3,-1,1,-1,,2,1,1,1,1,,1,,
Nataliia,13,3,-1,-1,1,,8,-1,-1,1,0,,-1,,
Pui Man,13,3,-1,-1,-1,,10,-1,1,1,0,,-1,,1
Toby,13,3,0,0,1,,4,,-1,1,1,,,,
Tom,13,3,0,1,1,,5,,1,1,1,,1,,
Aaron,13,4,1,1,1,,2,1,0,1,-1,,,,
Iain,13,4,-1,0,1,,3,,0,0,-1,,-1,,
Jasmine,13,4,1,1,1,,1,1,1,1,1,,1,1,
Jessika,13,4,-1,1,1,,7,-1,-1,-1,-1,,-1,,1
Lesley,13,4,-1,-1,-1,,5,,1,1,1,,,,
Nadia,13,4,0,-1,-1,,9,-1,0,1,1,,,,
Nataliia,13,4,-1,-1,-1,,8,-1,1,1,1,,,,
Toby,13,4,1,0,1,,4,1,1,1,-1,,1,,
Tom,13,4,1,1,1,,6,,1,1,1,,1,,
Aaron,13,5,0,1,1,,3,,1,1,1,,1,1,
Iain,13,5,1,1,1,,7,,1,1,1,,,,
Jasmine,13,5,-1,1,1,,2,,1,1,1,1,1,,
Lesley,13,5,-1,1,0,,1,,0,1,1,,1,,
Nadia,13,5,-1,1,0,,8,,1,1,-1,,-1,,1
Nataliia,13,5,-1,1,1,,6,,1,1,1,,,,
Toby,13,5,-1,1,-1,,5,,-1,-1,1,,-1,,
Tom,13,5,1,1,1,1,4,,0,1,1,,,,
Aaron,13,6,1,1,1,,7,,0,0,0,,-1,,
Iain,13,6,0,-1,0,,2,,1,0,1,,,,
Jasmine,13,6,1,1,1,,1,,1,0,1,,1,1,
Lesley,13,6,0,1,1,,3,,0,1,0,,1,,
Nataliia,13,6,-1,1,0,,5,,-1,0,1,,-1,,1
Toby,13,6,-1,1,0,,4,,1,1,0,,,,
Tom,13,6,-1,1,0,,6,,1,1,1,,,,
Aaron,13,7,1,1,-1,,2,,-1,0,1,,,,
Iain,13,7,0,1,1,,1,,0,-1,1,,-1,,
Jasmine,13,7,1,1,1,,4,,1,1,1,,1,,
Lesley,13,7,-1,1,-1,,6,,0,1,1,,-1,,1
Toby,13,7,1,1,1,1,3,,1,1,1,,1,1,
Tom,13,7,-1,1,1,,5,,1,1,1,,,,